Target,Solution1,Solution2,Solution3
Nymphaea_lotus_ssp_thermalis_NY105,NY105,Nymphaea_lotus_ssp_thermalis,NY105
Nymphaea_lotus_ssp_lotus_NY078,NY078,Nymphaea_lotus_ssp_lotus,NY078
Nymphaea_pubescens_NY406,NY406,Nymphaea_pubescens,NY406
Nymphaea_petersiana_NY058,NY058,Nymphaea_petersiana,NY058
Nymphaea_gracilis_NY025,NY025,Nymphaea_gracilis,NY025
Nymphaea_gracilis_NY429,NY429,Nymphaea_gracilis,NY429
Nymphaea_elegans_NY006,NY006,Nymphaea_elegans,NY006
Nymphaea_elegans_NY370,NY370,Nymphaea_elegans,NY370
Nymphaea_ampla_NY100,NY100,Nymphaea_ampla,NY100
Nymphaea_ampla_NY666_KU189255_Genome,KU189255,Nymphaea_ampla,NY666_KU189255
Nymphaea_colorata_NY122,NY122,Nymphaea_colorata,NY122
Nymphaea_micrantha_NY563,NY563,Nymphaea_micrantha,NY563
Nymphaea_micrantha_NY562,NY562,Nymphaea_micrantha,NY562
Nymphaea_guinensis_NY555,NY555,Nymphaea_guinensis,NY555
Nymphaea_guinensis_NY559,NY559,Nymphaea_guinensis,NY559
Nymphaea_guinensis_NY557,NY557,Nymphaea_guinensis,NY557
Nymphaea_guinensis_NY564,NY564,Nymphaea_guinensis,NY564
Nymphaea_caerulea_NY113,NY113,Nymphaea_caerulea,NY113
Nymphaea_micrantha_NY007,NY007,Nymphaea_micrantha,NY007
Nymphaea_heudelotii_NY066,NY066,Nymphaea_heudelotii,NY066
Nymphaea_thermarum_NY065,NY065,Nymphaea_thermarum,NY065
Nympaea_ondinea_NY377,NY377,Nymphaea_ondinea,NY377
Nymphaea_hastifolia_NY134,NY134,Nymphaea_hastifolia,NY134
Nymphaea_violacea_NY110,NY110,Nymphaea_violacea,NY110
Nymphaea_elleniae_NY137,NY137,Nymphaea_elleniae,NY137
Nymphaea_elleniae_NY103,NY103,Nymphaea_elleniae,NY103
Nymphaea_macrosperma_NY127,NY127,Nymphaea_macrosperma,NY127
Nymphaea_gigantea_NY067,NY067,Nymphaea_gigantea,NY067
Nymphaea_gigantea_NY126,NY126,Nymphaea_gigantea,NY126
Nymphaea_atrans_NY102,NY102,Nymphaea_atrans,NY102
Nymphaea_immutabilis_NY121,NY121,Nymphaea_immutabilis,NY121
